
# Surface 0 of 1 surfaces

# Curve title: ""MAC_boco_omega.csv""

# IsoCurve 0, 201 points
# x y z type
 29.7  8.1 -0.0143387 i
 29.7  8.2 -0.019211 i
 29.7  8.3 -0.0252211 i
 29.7  8.4 -0.0323138 i
 29.7  8.5 -0.0403314 i
 29.7  8.6 -0.0490058 i
 29.7  8.7 -0.0579648 i
 29.7  8.8 -0.066751 i
 29.7  8.9 -0.0748556 i
 29.7  9 -0.0817624 i
 29.7  9.1 -0.0869977 i
 29.7  9.2 -0.0901803 i
 29.7  9.3 -0.091061 i
 29.7  9.4 -0.0895457 i
 29.7  9.5 -0.0856989 i
 29.7  9.6 -0.0797692 i
 29.7  9.7 -0.072393 i
 29.7  9.8 -0.0652071 i
 29.7  9.9 -0.0612941 i
 29.7  10  0 i

# IsoCurve 4, 201 points
# x y z type
 29.6 -10  0 i
 29.6 -9.9 -0.00677947 i
 29.6 -9.8 -0.00728603 i
 29.6 -9.7 -0.00732604 i
 29.6 -9.6 -0.00724883 i
 29.6 -9.5 -0.00718211 i
 29.6 -9.4 -0.00714841 i
 29.6 -9.3 -0.00716491 i
 29.6 -9.2 -0.00726841 i
 29.6 -9.1 -0.00751624 i
 29.6 -9 -0.00798538 i
 29.6 -8.9 -0.00877173 i
 29.6 -8.8 -0.00998708 i
 29.6 -8.7 -0.0117526 i
 29.6 -8.6 -0.0141881 i
 29.6 -8.5 -0.0173975 i
 29.6 -8.4 -0.0214509 i
 29.6 -8.3 -0.026366 i
 29.6 -8.2 -0.0320903 i
 29.6 -8.1 -0.0384873 i
 29.6 -8 -0.0453302 i
 29.6 -7.9 -0.052305 i
 29.6 -7.8 -0.0590253 i
 29.6 -7.7 -0.0650584 i
 29.6 -7.6 -0.0699616 i
 29.6 -7.5 -0.0733256 i
 29.6 -7.4 -0.0748198 i
 29.6 -7.3 -0.0742335 i
 29.6 -7.2 -0.0715068 i
 29.6 -7.1 -0.0667466 i
 29.6 -7 -0.0602217 i
 29.6 -6.9 -0.0523384 i
 29.6 -6.8 -0.0435979 i
 29.6 -6.7 -0.0345405 i
 29.6 -6.6 -0.0256864 i
 29.6 -6.5 -0.0174799 i
 29.6 -6.4 -0.0102476 i
 29.6 -6.3 -0.00417399 i
 29.6 -6.2  0.000701313 i
 29.6 -6.1  0.00446924 i
 29.6 -6  0.00732378 i
